code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,2,-0.099,-0.104,-0.7072357647120953
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,3,0.035,0.034,0.19689764827489853
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,4,0.034,0.034,0.20230845175683498
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,5,-0.032,-0.035,-0.26818088069558144
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,6,-0.106,-0.108,-0.6897189617156982
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,7,0.046,0.043,0.21393290162086487
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,all,0.003,0.001,-0.015837742830626667
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,1,0.0,0.003,-0.034042508610582445
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,2,-0.099,-0.094,-0.8063027150928974
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,3,0.035,0.034,0.23156601563096046
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,4,0.034,0.036,0.23613433726131916
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,5,-0.032,-0.031,-0.3002839796245098
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,6,-0.106,-0.102,-0.7953025847673416
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,7,0.046,0.049,0.2598796412348747
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,all,0.003,0.005,-0.012900330708362162
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,1,0.0,0.004,-0.03388193138380302
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,2,-0.099,-0.088,-0.9053696654736996
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,3,0.035,0.034,0.2662343829870224
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,4,0.034,0.038,0.26996022276580334
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,5,-0.032,-0.029,-0.3323870785534382
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,6,-0.106,-0.099,-0.900886207818985
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,7,0.046,0.053,0.3058263808488846
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,all,0.003,0.007,-0.009962918586097658
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,1,0.012,0.006,-0.027611853613052517
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,2,-0.075,-0.081,-0.9925479553639889
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,3,0.031,0.034,0.29905945528298616
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,4,0.045,0.039,0.3095919340848923
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,5,-0.025,-0.026,-0.3609165744856
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,6,-0.087,-0.095,-0.9971811696887016
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,7,0.062,0.057,0.3598674312233925
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,all,0.012,0.009,-0.0024963964242488146
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,1,0.009,0.008,-0.01717094104969874
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,2,-0.066,-0.075,-1.0634020380675793
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,3,0.035,0.034,0.33183816634118557
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,4,0.041,0.04,0.35270303674042225
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,5,-0.022,-0.024,-0.38422894943505526
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,6,-0.089,-0.092,-1.0851964429020882
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,7,0.064,0.06,0.4231138788163662
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,all,0.013,0.011,0.010180131299421191
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,1,0.009,0.009,-0.00866869423771277
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,2,-0.066,-0.068,-1.1298205740749836
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,3,0.035,0.034,0.3664138112217188
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,4,0.041,0.042,0.3934877049177885
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,5,-0.022,-0.022,-0.40589780639857054
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,6,-0.089,-0.089,-1.1742206886410713
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,7,0.064,0.064,0.48747141286730766
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,all,0.013,0.013,0.02353755454532802
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,1,0.009,0.009,-0.00016644742572680116
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,2,-0.066,-0.057,-1.196239110082388
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,3,0.035,0.035,0.400989456102252
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,4,0.041,0.04,0.43427237309515476
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,5,-0.022,-0.02,-0.4275666633620858
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,6,-0.089,-0.083,-1.2632449343800545
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,7,0.064,0.072,0.5518289469182491
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,all,0.013,0.015,0.03689497779123485
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,1,0.009,0.009,0.008335799386259168
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,2,-0.066,-0.047,-1.2626576460897923
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,3,0.035,0.035,0.4355651009827852
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,4,0.041,0.039,0.475057041272521
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,5,-0.022,-0.017,-0.4492355203256011
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,6,-0.089,-0.077,-1.3522691801190376
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,7,0.064,0.079,0.6161864809691906
1992-1997-08,1992/08 - 1997/08,1995-03-01 00:15:01.757812,all,0.013,0.017,0.05025240103714168
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,1,0.01,0.01,0.017692284134682268
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,2,-0.019,-0.038,-1.305389686487615
