code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,12,-0.08,-0.08,-0.16010049358010292
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,13,-0.073,-0.074,-0.14713605865836143
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,14,-0.062,-0.061,-0.1223440133035183
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,15,-0.18,-0.18,-0.359779916703701
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,16,-0.206,-0.207,-0.41304977238178253
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,17,-0.212,-0.212,-0.4234492555260658
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,18,-0.04,-0.04,-0.07917832769453526
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,all,-0.058,-0.058,-0.11601927876472473
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,1,-0.187,-0.182,-0.5596143379807472
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,2,-0.055,-0.055,-0.16515092551708221
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,3,-0.038,-0.038,-0.11503937654197216
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,4,-0.034,-0.033,-0.10063477419316769
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,5,-0.055,-0.054,-0.16601461917161942
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,6,-0.065,-0.064,-0.1945202760398388
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,7,-0.051,-0.05,-0.15431079640984535
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,8,-0.048,-0.047,-0.1436490062624216
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,9,-0.097,-0.097,-0.2921469025313854
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,10,-0.039,-0.038,-0.11706034652888775
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,11,-0.072,-0.071,-0.21561358869075775
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,12,-0.08,-0.077,-0.24015212431550026
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,13,-0.073,-0.072,-0.22057638689875603
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,14,-0.062,-0.059,-0.18412212654948235
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,15,-0.18,-0.185,-0.5400193110108376
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,16,-0.206,-0.21,-0.6194728463888168
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,17,-0.212,-0.206,-0.6356490924954414
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,18,-0.04,-0.041,-0.11879871971905231
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,all,-0.058,-0.057,-0.17406528815627098
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,1,-0.187,-0.178,-0.7462083175778389
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,2,-0.055,-0.055,-0.22044243291020393
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,3,-0.038,-0.038,-0.15344851650297642
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,4,-0.034,-0.032,-0.1341471429914236
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,5,-0.055,-0.053,-0.2213183157145977
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,6,-0.065,-0.062,-0.2592976503074169
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,7,-0.051,-0.049,-0.20570583269000053
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,8,-0.048,-0.047,-0.19160697795450687
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,9,-0.097,-0.097,-0.3894592486321926
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,10,-0.039,-0.037,-0.15609204955399036
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,11,-0.072,-0.07,-0.28752588480710983
