code,period,midpoint,basin,SEC
199110-199610,1991/10 - 1996/10,1994.3276,17,-0.2121998369693756
199110-199610,1991/10 - 1996/10,1994.3276,18,-0.03962039202451706
199110-199610,1991/10 - 1996/10,1994.3276,all,-0.05804601
199111-199611,1991/11 - 1996/11,1994.4125,0,-0.16408582031726837
199111-199611,1991/11 - 1996/11,1994.4125,1,-0.18659397959709167
199111-199611,1991/11 - 1996/11,1994.4125,2,-0.05529150739312172
199111-199611,1991/11 - 1996/11,1994.4125,3,-0.03840913996100426
199111-199611,1991/11 - 1996/11,1994.4125,4,-0.03351236879825592
199111-199611,1991/11 - 1996/11,1994.4125,5,-0.05530369654297829
199111-199611,1991/11 - 1996/11,1994.4125,6,-0.06477737426757812
199111-199611,1991/11 - 1996/11,1994.4125,7,-0.05139503628015518
199111-199611,1991/11 - 1996/11,1994.4125,8,-0.047957971692085266
199111-199611,1991/11 - 1996/11,1994.4125,9,-0.09731234610080719
199111-199611,1991/11 - 1996/11,1994.4125,10,-0.039031703025102615
199111-199611,1991/11 - 1996/11,1994.4125,11,-0.07191229611635208
199111-199611,1991/11 - 1996/11,1994.4125,12,-0.08005163073539734
199111-199611,1991/11 - 1996/11,1994.4125,13,-0.07344032824039459
199111-199611,1991/11 - 1996/11,1994.4125,14,-0.06177811324596405
199111-199611,1991/11 - 1996/11,1994.4125,15,-0.18023939430713654
199111-199611,1991/11 - 1996/11,1994.4125,16,-0.2064230740070343
199111-199611,1991/11 - 1996/11,1994.4125,17,-0.2121998369693756
199111-199611,1991/11 - 1996/11,1994.4125,18,-0.03962039202451706
199111-199611,1991/11 - 1996/11,1994.4125,all,-0.05804601
199112-199612,1991/12 - 1996/12,1994.4945,0,-0.17640863358974457
199112-199612,1991/12 - 1996/12,1994.4945,1,-0.16468241810798645
199112-199612,1991/12 - 1996/12,1994.4945,2,-0.054067213088274
199112-199612,1991/12 - 1996/12,1994.4945,3,-0.03670443966984749
199112-199612,1991/12 - 1996/12,1994.4945,4,-0.029857022687792778
199112-199612,1991/12 - 1996/12,1994.4945,5,-0.05017051845788956
199112-199612,1991/12 - 1996/12,1994.4945,6,-0.058854151517152786
199112-199612,1991/12 - 1996/12,1994.4945,7,-0.0459807813167572
199112-199612,1991/12 - 1996/12,1994.4945,8,-0.04472048953175545
199112-199612,1991/12 - 1996/12,1994.4945,9,-0.09534076601266861
199112-199612,1991/12 - 1996/12,1994.4945,10,-0.033944495022296906
199112-199612,1991/12 - 1996/12,1994.4945,11,-0.06763258576393127
199112-199612,1991/12 - 1996/12,1994.4945,12,-0.06337760388851166
199112-199612,1991/12 - 1996/12,1994.4945,13,-0.06375599652528763
199112-199612,1991/12 - 1996/12,1994.4945,14,-0.046797797083854675
199112-199612,1991/12 - 1996/12,1994.4945,15,-0.2063501626253128
199112-199612,1991/12 - 1996/12,1994.4945,16,-0.22320537269115448
199112-199612,1991/12 - 1996/12,1994.4945,17,-0.18359674513339996
199112-199612,1991/12 - 1996/12,1994.4945,18,-0.044660765677690506
199112-199612,1991/12 - 1996/12,1994.4945,all,-0.053267337
199201-199701,1992/01 - 1997/01,1994.5793,0,-0.17640863358974457
199201-199701,1992/01 - 1997/01,1994.5793,1,-0.16468241810798645
199201-199701,1992/01 - 1997/01,1994.5793,2,-0.054067213088274
199201-199701,1992/01 - 1997/01,1994.5793,3,-0.03670443966984749
199201-199701,1992/01 - 1997/01,1994.5793,4,-0.029857022687792778
199201-199701,1992/01 - 1997/01,1994.5793,5,-0.05017051845788956
199201-199701,1992/01 - 1997/01,1994.5793,6,-0.058854151517152786
199201-199701,1992/01 - 1997/01,1994.5793,7,-0.0459807813167572
199201-199701,1992/01 - 1997/01,1994.5793,8,-0.04472048953175545
199201-199701,1992/01 - 1997/01,1994.5793,9,-0.09534076601266861
199201-199701,1992/01 - 1997/01,1994.5793,10,-0.033944495022296906
199201-199701,1992/01 - 1997/01,1994.5793,11,-0.06763258576393127
199201-199701,1992/01 - 1997/01,1994.5793,12,-0.06337760388851166
199201-199701,1992/01 - 1997/01,1994.5793,13,-0.06375599652528763
199201-199701,1992/01 - 1997/01,1994.5793,14,-0.046797797083854675
199201-199701,1992/01 - 1997/01,1994.5793,15,-0.2063501626253128
199201-199701,1992/01 - 1997/01,1994.5793,16,-0.22320537269115448
199201-199701,1992/01 - 1997/01,1994.5793,17,-0.18359674513339996
199201-199701,1992/01 - 1997/01,1994.5793,18,-0.044660765677690506
199201-199701,1992/01 - 1997/01,1994.5793,all,-0.053267337
199202-199702,1992/02 - 1997/02,1994.6602,0,-0.17640863358974457
199202-199702,1992/02 - 1997/02,1994.6602,1,-0.16468241810798645
199202-199702,1992/02 - 1997/02,1994.6602,2,-0.054067213088274
199202-199702,1992/02 - 1997/02,1994.6602,3,-0.03670443966984749
199202-199702,1992/02 - 1997/02,1994.6602,4,-0.029857022687792778
199202-199702,1992/02 - 1997/02,1994.6602,5,-0.05017051845788956
199202-199702,1992/02 - 1997/02,1994.6602,6,-0.058854151517152786
199202-199702,1992/02 - 1997/02,1994.6602,7,-0.0459807813167572
199202-199702,1992/02 - 1997/02,1994.6602,8,-0.04472048953175545
199202-199702,1992/02 - 1997/02,1994.6602,9,-0.09534076601266861
199202-199702,1992/02 - 1997/02,1994.6602,10,-0.033944495022296906
199202-199702,1992/02 - 1997/02,1994.6602,11,-0.06763258576393127
199202-199702,1992/02 - 1997/02,1994.6602,12,-0.06337760388851166
199202-199702,1992/02 - 1997/02,1994.6602,13,-0.06375599652528763
199202-199702,1992/02 - 1997/02,1994.6602,14,-0.046797797083854675
199202-199702,1992/02 - 1997/02,1994.6602,15,-0.2063501626253128
199202-199702,1992/02 - 1997/02,1994.6602,16,-0.22320537269115448
199202-199702,1992/02 - 1997/02,1994.6602,17,-0.18359674513339996
199202-199702,1992/02 - 1997/02,1994.6602,18,-0.044660765677690506
199202-199702,1992/02 - 1997/02,1994.6602,all,-0.053267337
199203-199703,1992/03 - 1997/03,1994.7422,0,-0.17640863358974457
199203-199703,1992/03 - 1997/03,1994.7422,1,-0.16468241810798645
199203-199703,1992/03 - 1997/03,1994.7422,2,-0.054067213088274
199203-199703,1992/03 - 1997/03,1994.7422,3,-0.03670443966984749
199203-199703,1992/03 - 1997/03,1994.7422,4,-0.029857022687792778
199203-199703,1992/03 - 1997/03,1994.7422,5,-0.05017051845788956
199203-199703,1992/03 - 1997/03,1994.7422,6,-0.058854151517152786
199203-199703,1992/03 - 1997/03,1994.7422,7,-0.0459807813167572
199203-199703,1992/03 - 1997/03,1994.7422,8,-0.04472048953175545
199203-199703,1992/03 - 1997/03,1994.7422,9,-0.09534076601266861
199203-199703,1992/03 - 1997/03,1994.7422,10,-0.033944495022296906
199203-199703,1992/03 - 1997/03,1994.7422,11,-0.06763258576393127
199203-199703,1992/03 - 1997/03,1994.7422,12,-0.06337760388851166
199203-199703,1992/03 - 1997/03,1994.7422,13,-0.06375599652528763
199203-199703,1992/03 - 1997/03,1994.7422,14,-0.046797797083854675
199203-199703,1992/03 - 1997/03,1994.7422,15,-0.2063501626253128
199203-199703,1992/03 - 1997/03,1994.7422,16,-0.22320537269115448
199203-199703,1992/03 - 1997/03,1994.7422,17,-0.18359674513339996
199203-199703,1992/03 - 1997/03,1994.7422,18,-0.044660765677690506
199203-199703,1992/03 - 1997/03,1994.7422,all,-0.053267337
199204-199704,1992/04 - 1997/04,1994.8269,0,-0.15853196382522583
199204-199704,1992/04 - 1997/04,1994.8269,1,-0.15143851935863495
199204-199704,1992/04 - 1997/04,1994.8269,2,-0.06989607959985733
199204-199704,1992/04 - 1997/04,1994.8269,3,-0.03232497721910477
199204-199704,1992/04 - 1997/04,1994.8269,4,-0.0255114883184433
199204-199704,1992/04 - 1997/04,1994.8269,5,-0.04448571428656578
199204-199704,1992/04 - 1997/04,1994.8269,6,-0.05522742494940758
199204-199704,1992/04 - 1997/04,1994.8269,7,-0.04416775703430176
199204-199704,1992/04 - 1997/04,1994.8269,8,-0.04190540686249733
199204-199704,1992/04 - 1997/04,1994.8269,9,-0.09989622980356216
199204-199704,1992/04 - 1997/04,1994.8269,10,-0.033039432018995285
199204-199704,1992/04 - 1997/04,1994.8269,11,-0.05807480961084366
199204-199704,1992/04 - 1997/04,1994.8269,12,-0.056154780089855194
199204-199704,1992/04 - 1997/04,1994.8269,13,-0.06988857686519623
199204-199704,1992/04 - 1997/04,1994.8269,14,-0.03621291741728783
199204-199704,1992/04 - 1997/04,1994.8269,15,-0.2445114105939865
199204-199704,1992/04 - 1997/04,1994.8269,16,-0.10617231577634811
199204-199704,1992/04 - 1997/04,1994.8269,17,-0.15092279016971588
199204-199704,1992/04 - 1997/04,1994.8269,18,-0.04667168855667114
199204-199704,1992/04 - 1997/04,1994.8269,all,-0.049834166
199205-199705,1992/05 - 1997/05,1994.9089,0,-0.1684630960226059
199205-199705,1992/05 - 1997/05,1994.9089,1,-0.15570120513439178
199205-199705,1992/05 - 1997/05,1994.9089,2,-0.06542146950960159
199205-199705,1992/05 - 1997/05,1994.9089,3,-0.03281208500266075
199205-199705,1992/05 - 1997/05,1994.9089,4,-0.02543232962489128
199205-199705,1992/05 - 1997/05,1994.9089,5,-0.04372255876660347
199205-199705,1992/05 - 1997/05,1994.9089,6,-0.053467586636543274
199205-199705,1992/05 - 1997/05,1994.9089,7,-0.04627159982919693
199205-199705,1992/05 - 1997/05,1994.9089,8,-0.039609141647815704
199205-199705,1992/05 - 1997/05,1994.9089,9,-0.10753022879362106
199205-199705,1992/05 - 1997/05,1994.9089,10,-0.0362807996571064
199205-199705,1992/05 - 1997/05,1994.9089,11,-0.05902695283293724
199205-199705,1992/05 - 1997/05,1994.9089,12,-0.05502145364880562
199205-199705,1992/05 - 1997/05,1994.9089,13,-0.06583156436681747
